"Year","Location.Name","Female.0.4","Female.5.11","Female.5.17","Female.12.17","Female.18.59","Female.60.","Male.0.4","Male.5.11","Male.5.17","Male.12.17","Male.18.59","Male.60."
2013,"Oruchinga  ",627,962,NA,1017,110,4,613,925,NA,862,"93",2
2013,"Nakivale  ",6229,10744,NA,11170,1846,44,6295,10702,NA,10975,"1935",31
2013,"Kyangwali  ",4080,4686,NA,4720,4094,237,4002,4970,NA,5075,"3305",188
2013,"Kiryandongo  ",279,493,NA,389,1043,96,300,493,NA,419,"862",78
2013,"Kyaka II  ",2336,2644,NA,1895,3809,330,2341,2689,NA,1896,"3507",295
2013,"Kampala  ",2805,3847,NA,4184,8930,586,2815,3890,NA,3880,"11917",525
2013,"Adjumani  ",989,1808,NA,1226,3117,225,999,2021,NA,1464,"2121",90
2014,"Adjumani  ",7799,13588,NA,8304,20369,2098,8237,14136,NA,8967,"12796",886
2014,"Kampala  ",3297,6482,NA,6520,16894,450,3580,6569,NA,7040,"20799",388
2014,"Kiryandongo  ",2990,4425,NA,3211,6785,501,3157,4529,NA,3601,"5199",239
2014,"Koboko",433,806,NA,362,868,74,434,857,NA,388,"478",40
2014,"Kyaka II",2689,2962,NA,2358,3356,181,2651,2994,NA,2286,"3124",167
2014,"Kyangwali  ",4169,4956,NA,3080,7693,535,4106,5081,NA,3112,"7262",486
2014,"Nakivale  ",6574,8714,NA,5799,14366,667,6514,8886,NA,5823,"14297",650
2014,"Oruchinga  ",564,675,NA,362,1055,69,549,640,NA,346,"913",63
2014,"Rhino Camp   ",1630,2698,NA,1872,3170,233,1763,2844,NA,2344,"2188",80
2014,"Rwamanja  ",6417,6223,NA,3344,9673,393,6271,6230,NA,3535,"10367",363
2014,"Dispersed",0,0,NA,0,1,0,0,0,NA,0,"0",0
2015,"Kampala  ",3221,6282,NA,5835,19112,542,4063,6329,NA,5476,"22690",494
2015,"Kiryandongo  ",2901,6288,NA,4444,9343,711,3146,6591,NA,5026,"7566",299
2015,"Kyaka II",2053,3037,NA,2101,5957,435,2024,3068,NA,2040,"5969",428
2015,"Kyangwali  ",3464,5205,NA,2950,8722,702,3407,5354,NA,3054,"8292",637
2015,"Nakivale  ",6429,10747,NA,7514,22733,1158,6436,10995,NA,7502,"24141",1084
2015,"Oruchinga  ",526,799,NA,435,1278,83,541,790,NA,408,"1108",83
2015,"Rwamanja  ",7461,8121,NA,3611,14065,708,7283,7997,NA,3843,"15535",630
2015,"Adjumani  ",9962,16463,NA,10387,24919,2610,10359,17397,NA,11494,"15493",1097
2015,"Arua",2170,4310,NA,2947,5405,431,2326,4584,NA,3476,"3679",155
2015,"Dispersed",18000,18000,NA,18000,18000,18000,18000,18000,NA,18000,"18000",18000
2016,"Adjumani  ",18025,28025,NA,17754,37172,3941,18661,29108,NA,19221,"21103",1432
2016,"Arua",7282,10760,NA,7956,15795,1067,7357,10775,NA,8579,"13106",424
2016,"Bidibidi RC (Yumbe (Bidibidi))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
2016,"Kampala  ",3495,7047,NA,6462,24282,714,3604,7092,NA,6237,"28432",614
2016,"Kiryandongo  ",4271,7139,NA,4885,9274,763,4391,7614,NA,5492,"6062",264
2016,"Kyaka II",2350,3662,NA,2264,6420,480,2364,3709,NA,2287,"6190",447
2016,"Kyangwali  ",3222,6008,NA,3241,9447,780,3173,6121,NA,3292,"9057",716
2016,"Moyo",1001,1376,NA,1056,1952,181,1027,1484,NA,969,"1030",69
2016,"Nakivale  ",8425,13285,NA,9018,27124,1387,8620,13612,NA,9244,"30009",1263
2016,"Nakivale RC (Nakivale)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
