Year,Country / territory of asylum/residence,Location Name,Female 0-4,Female 5-11,Female 5-17,Female 12-17,Female 18-59,Female 60+,F: Unknown,F: Total,Male 0-4,Male 5-11,Male 5-17,Male 12-17,Male 18-59,Male 60+,M: Unknown,M: Total,Overall total
#date+year,#country+residence,#loc+name,#affected+f+children+age0_4,#affected+f+children+age5_11,#affected+f+children+age5_17,#affected+f+adolescents+age12_17,#affected+f+adults+age18_59,#affected+f+elderly+age60plus,#affected+f+other,#affected+f+total,#affected+m+children+age0_4,#affected+m+children+age5_11,#affected+m+children+age5_17,#affected+m+adolescents+age12_17,#affected+m+adults+age18_59,#affected+m+elderly+age60plus,#affected+m+other,#affected+m+total,#affected+all+total
2015,Uganda,Nakivale : Point,6429,10747,,7514,22733,1158,,48581,6436,10995,,7502,24141,1084,,50158
2015,Uganda,Oruchinga : Point,526,799,,435,1278,83,,3121,541,790,,408,1108,83,,2930
2015,Uganda,Rwamanja : Point,7461,8121,,3611,14065,708,,33966,7283,7997,,3843,15535,630,,35288
2015,Uganda,Adjumani : District,9962,16463,,10387,24919,2610,,64341,10359,17397,,11494,15493,1097,,55840
2015,Uganda,Arua,2170,4310,,2947,5405,431,,15263,2326,4584,,3476,3679,155,,14220
2015,Uganda,Uganda : Dispersed in the country / territory,18000,18000,,18000,18000,18000,,90000,18000,18000,,18000,18000,18000,,90000
2016,Uganda,Adjumani : District,18025,28025,,17754,37172,3941,,104917,18661,29108,,19221,21103,1432,,89525
2016,Uganda,Arua,7282,10760,,7956,15795,1067,,42860,7357,10775,,8579,13106,424,,40241
2016,Uganda,Bidibidi RC (Yumbe),,,,,,,,0,,,,,,,,0
2016,Uganda,Kampala : City,3495,7047,,6462,24282,714,,42000,3604,7092,,6237,28432,614,,45979
2016,Uganda,Kiryandongo : District,4271,7139,,4885,9274,763,,26332,4391,7614,,5492,6062,264,,23823
2016,Uganda,Kyaka II,2350,3662,,2264,6420,480,,15176,2364,3709,,2287,6190,447,,14997
2016,Uganda,Kyangwali : Point,3222,6008,,3241,9447,780,,22698,3173,6121,,3292,9057,716,,22359
2016,Uganda,Moyo,1001,1376,,1056,1952,181,,5566,1027,1484,,969,1030,69,,4579
2016,Uganda,Nakivale : Point,8425,13285,,9018,27124,1387,,59239,8620,13612,,9244,30009,1263,,62748
2016,Uganda,Nakivale RC (Nakivale),,,,,,,,0,,,,,,,,0
2016,Uganda,Nyakabande TC (Kisoro),,,,,,,,0,,,,,,,,0
2016,Uganda,Nyumanzi RC (Adjumani),,,,,,,,0,,,,,,,,0
2016,Uganda,Ocea RC (Rhino Camp),,,,,,,,0,,,,,,,,0
2016,Uganda,Oruchinga : Point,692,1038,,603,1691,103,,4127,713,1061,,573,1484,106,,3937
2016,Uganda,Palorinya RC (Moyo),,,,,,,,0,,,,,,,,0
2016,Uganda,Rwamanja : Point,7025,7978,,3473,12016,620,,31112,7031,7737,,3675,10786,581,,29810
2016,Uganda,Yumbe,8563,10435,,7421,15895,2246,,44560,8684,10467,,7974,11576,879,,39580
2016,Uganda,Uganda : Dispersed in the country / territory,18000,18000,,18000,18000,18000,,90000,18000,18000,,18000,18000,18000,,90000
2017,Uganda,Adjumani : District,16062,32956,,22420,45280,4714,,121432,16735,34228,,23928,28318,1808,,105017
2017,Uganda,Imvepi,10469,15768,,9441,26522,2131,,64331,10562,16254,,10279,24650,1008,,62753
2017,Uganda,Kampala : City,3744,8143,,7225,29546,858,,49516,3816,8269,,7043,34211,839,,54178
2017,Uganda,Kiryandongo : District,4360,7786,,5794,10358,889,,29187,4554,8244,,6400,8762,492,,28452
2017,Uganda,Kyaka II,2493,3899,,2412,7118,540,,16462,2526,3932,,2448,6803,485,,16194
2017,Uganda,Kyaka II RC,,,,,,,,0,,,,,,,,0
2017,Uganda,Kyangwali : Point,3953,4402,,2664,7195,483,,18697,3993,4578,,2714,6294,437,,18016
2017,Uganda,Kyangwali RC,,,,,,,,0,,,,,,,,0
2017,Uganda,Lamwo,2065,3053,,1653,4076,377,,11224,2189,3391,,1998,2539,131,,10248
2017,Uganda,Lamwo RC,,,,,,,,0,,,,,,,,0
2017,Uganda,Lobule,276,696,,523,787,77,,2359,267,710,,554,511,40,,2082
2017,Uganda,Moyo,9942,17456,,12749,27935,3157,,71239,10131,17838,,13230,19414,1502,,62115
2017,Uganda,Nakivale : Point,8230,11330,,7970,22048,1110,,50688,8416,11667,,7991,22265,982,,51321
2017,Uganda,Nakivale RC (Nakivale),,,,,,,,0,,,,,,,,0
2017,Uganda,Nyakabande TC (Kisoro),,,,,,,,0,,,,,,,,0
2017,Uganda,Nyumanzi RC (Adjumani),,,,,,,,0,,,,,,,,0
2017,Uganda,Ocea RC (Rhino Camp),,,,,,,,0,,,,,,,,0
2017,Uganda,Oruchinga : Point,580,831,,537,1467,89,,3504,613,869,,523,1261,82,,3348
2017,Uganda,Palorinya RC (Moyo),,,,,,,,0,,,,,,,,0
2017,Uganda,Rhino Camp : Point,8091,15168,,10452,25541,1615,,60867,8113,15179,,11312,24165,777,,59546
2017,Uganda,Rwamanja : Point,8428,9660,,4635,14876,925,,38524,8322,9395,,4719,15226,849,,38511
2017,Uganda,Yumbe,29466,45145,,26277,45571,4558,,151017,29045,46969,,28331,29703,2022,,136070
2017,Uganda,Uganda : Dispersed in the country / territory,0,0,,0,0,0,,0,0,0,,0,*,0,,*
2018,Uganda,Adjumani : District,17529,28335,,19396,38671,4842,,108773,17763,29087,,21316,23845,1822,,93833
2018,Uganda,Imvepi,5804,7886,,4572,10523,1211,,29996,5878,8054,,4696,7685,518,,26831
2018,Uganda,Kampala : City,2916,4566,,3787,15112,377,,26758,2909,4695,,3726,16015,368,,27713
2018,Uganda,Kayaka II : Point,8493,9328,,5315,17138,1083,,41357,8405,9547,,5301,15988,884,,40125
2018,Uganda,Kiryandongo : District,3701,7508,,5880,10676,890,,28655,3837,7761,,6730,7733,261,,26322
2018,Uganda,Kitgum,3550,4511,,2746,6725,680,,18212,3565,4948,,3281,4631,245,,16670
2018,Uganda,Koboko,392,777,,565,896,79,,2709,359,769,,594,557,47,,2326
2018,Uganda,Kyangwali : Point,9548,10163,,5098,19885,1818,,46512,9496,10451,,5230,14958,1259,,41394
2018,Uganda,Nakivale : Point,8044,11442,,7799,22548,1098,,50931,8204,11546,,7766,22788,1015,,51319
2018,Uganda,Oruchinga : Point,614,854,,540,1573,97,,3678,627,908,,538,1379,103,,3555
2018,Uganda,Palorinya,10055,14624,,10514,24201,3204,,62598,10133,15039,,10834,18171,1729,,55906
2018,Uganda,Rhino Camp : Point,8581,12990,,8966,18107,1553,,50197,8662,13319,,9814,14063,663,,46521
2018,Uganda,Rwamanja : Point,7094,9006,,4101,12608,730,,33539,7063,8756,,4195,10848,670,,31532
2018,Uganda,Yumbe (Bidibidi),25566,32310,,18940,37008,3553,,117377,24634,33586,,20289,25503,1571,,105583
