"Year","Location.Name","Female.0.4","Female.5.11","Female.5.17","Female.12.17","Female.18.59","Female.60.","F..Unknown","F..Total","Male.0.4","Male.5.11","Male.5.17","Male.12.17","Male.18.59","Male.60.","M..Unknown","M..Total"
"2017","Imvepi","10469","15768","","9441","26522","2131","","64331","10562","16254","","10279","24650","1008","","62753"
"2017","Kampala : City","3744","8143","","7225","29546","858","","49516","3816","8269","","7043","34211","839","","54178"
"2017","Kiryandongo : District","4360","7786","","5794","10358","889","","29187","4554","8244","","6400","8762","492","","28452"
"2017","Kyaka II","2493","3899","","2412","7118","540","","16462","2526","3932","","2448","6803","485","","16194"
"2017","Kyaka II RC","","","","","","","","0","","","","","","","","0"
"2017","Kyangwali : Point","3953","4402","","2664","7195","483","","18697","3993","4578","","2714","6294","437","","18016"
"2017","Kyangwali RC","","","","","","","","0","","","","","","","","0"
"2017","Lamwo","2065","3053","","1653","4076","377","","11224","2189","3391","","1998","2539","131","","10248"
"2017","Lamwo RC","","","","","","","","0","","","","","","","","0"
"2017","Lobule","276","696","","523","787","77","","2359","267","710","","554","511","40","","2082"
"2017","Moyo","9942","17456","","12749","27935","3157","","71239","10131","17838","","13230","19414","1502","","62115"
"2017","Nakivale : Point","8230","11330","","7970","22048","1110","","50688","8416","11667","","7991","22265","982","","51321"
"2017","Nakivale RC (Nakivale)","","","","","","","","0","","","","","","","","0"
"2017","Nyakabande TC (Kisoro)","","","","","","","","0","","","","","","","","0"
"2017","Nyumanzi RC (Adjumani)","","","","","","","","0","","","","","","","","0"
"2017","Ocea RC (Rhino Camp)","","","","","","","","0","","","","","","","","0"
"2017","Oruchinga : Point","580","831","","537","1467","89","","3504","613","869","","523","1261","82","","3348"
"2017","Palorinya RC (Moyo)","","","","","","","","0","","","","","","","","0"
"2017","Rhino Camp : Point","8091","15168","","10452","25541","1615","","60867","8113","15179","","11312","24165","777","","59546"
"2017","Rwamanja : Point","8428","9660","","4635","14876","925","","38524","8322","9395","","4719","15226","849","","38511"
"2017","Yumbe","29466","45145","","26277","45571","4558","","151017","29045","46969","","28331","29703","2022","","136070"
"2017","Uganda : Dispersed in the country / territory","0","0","","0","0","0","","0","0","0","","0","*","0","","*"
"2018","Adjumani : District","17529","28335","","19396","38671","4842","","108773","17763","29087","","21316","23845","1822","","93833"
"2018","Imvepi","5804","7886","","4572","10523","1211","","29996","5878","8054","","4696","7685","518","","26831"
"2018","Kampala : City","2916","4566","","3787","15112","377","","26758","2909","4695","","3726","16015","368","","27713"
"2018","Kayaka II : Point","8493","9328","","5315","17138","1083","","41357","8405","9547","","5301","15988","884","","40125"
"2018","Kiryandongo : District","3701","7508","","5880","10676","890","","28655","3837","7761","","6730","7733","261","","26322"
"2018","Kitgum","3550","4511","","2746","6725","680","","18212","3565","4948","","3281","4631","245","","16670"
"2018","Koboko","392","777","","565","896","79","","2709","359","769","","594","557","47","","2326"
"2018","Kyangwali : Point","9548","10163","","5098","19885","1818","","46512","9496","10451","","5230","14958","1259","","41394"
"2018","Nakivale : Point","8044","11442","","7799","22548","1098","","50931","8204","11546","","7766","22788","1015","","51319"
"2018","Oruchinga : Point","614","854","","540","1573","97","","3678","627","908","","538","1379","103","","3555"
"2018","Palorinya","10055","14624","","10514","24201","3204","","62598","10133","15039","","10834","18171","1729","","55906"
"2018","Rhino Camp : Point","8581","12990","","8966","18107","1553","","50197","8662","13319","","9814","14063","663","","46521"
"2018","Rwamanja : Point","7094","9006","","4101","12608","730","","33539","7063","8756","","4195","10848","670","","31532"
"2018","Yumbe (Bidibidi)","25566","32310","","18940","37008","3553","","117377","24634","33586","","20289","25503","1571","","105583"
